DAY_NO,Bangladesh,India,Pakistan,Italy,Spain,France,Colombia,Cuba,Turkey,Israel,
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,3,0,0,0,0,
4,0,0,0,0,0,3,0,0,0,0,
5,0,0,0,0,0,3,0,0,0,0,
6,0,0,0,0,0,4,0,0,0,0,
7,0,1,0,0,0,5,0,0,0,0,
8,0,1,0,2,0,6,0,0,0,0,
9,0,1,0,2,1,6,0,0,0,0,
10,0,2,0,2,1,6,0,0,0,0,
11,0,3,0,2,1,6,0,0,0,0,
12,0,3,0,2,1,6,0,0,0,0,
13,0,3,0,2,1,6,0,0,0,0,
14,0,3,0,2,1,6,0,0,0,0,
15,0,3,0,3,1,6,0,0,0,0,
16,0,3,0,3,1,6,0,0,0,0,
17,0,3,0,3,1,11,0,0,0,0,
18,0,3,0,3,2,11,0,0,0,0,
19,0,3,0,3,2,11,0,0,0,0,
20,0,3,0,3,2,11,0,0,0,0,
21,0,3,0,3,2,11,0,0,0,0,
22,0,3,0,3,2,11,0,0,0,0,
23,0,3,0,3,2,11,0,0,0,0,
24,0,3,0,3,2,12,0,0,0,0,
25,0,3,0,3,2,12,0,0,0,0,
26,0,3,0,3,2,12,0,0,0,0,
27,0,3,0,3,2,12,0,0,0,0,
28,0,3,0,3,2,0,0,0,0,0,
29,0,3,0,3,2,12,0,0,0,0,
30,0,3,0,9,2,12,0,0,0,1,
31,0,3,0,76,2,12,0,0,0,1,
32,0,3,0,124,2,12,0,0,0,1,
33,0,3,0,229,2,12,0,0,0,2,
34,0,3,0,322,2,12,0,0,0,2,
35,0,3,2,400,12,18,0,0,0,2,
36,0,3,2,650,25,38,0,0,0,3,
37,0,3,2,888,32,57,0,0,0,5,
38,0,3,4,1128,45,100,0,0,0,7,
39,0,3,4,1689,45,100,0,0,0,7,
40,0,5,5,2036,114,191,0,0,0,10,
41,0,6,5,2502,151,212,0,0,0,12,
42,0,29,5,3089,198,0,0,0,0,15,
43,0,30,5,3858,257,420,0,0,0,15,
44,0,31,5,4636,374,613,1,0,0,19,
45,0,34,5,5883,430,706,1,0,0,25,
46,3,43,0,7375,589,1116,1,0,0,39,
47,3,44,16,9172,1024,1402,3,0,0,39,
48,3,60,16,10149,1639,1774,0,0,0,75,
49,3,73,19,0,2140,2269,9,0,1,75,
50,3,74,20,15113,2965,2860,9,3,1,75,
51,3,82,21,17660,4231,3640,16,4,5,100,
52,3,107,28,21157,5753,4469,24,4,5,178,
53,5,114,52,24747,7753,5380,24,4,5,200,
54,8,137,0,27980,9191,6573,45,5,47,250,
55,8,137,187,31506,11178,7652,45,5,47,304,
56,10,151,241,35713,13716,9043,93,10,191,427,
57,17,195,302,41035,17147,10877,108,11,191,529,
58,17,195,461,47021,19980,12475,145,16,670,712,
59,24,283,495,53578,24926,14296,196,16,947,883,
60,27,415,784,59138,28572,15821,196,16,1236,1071,
61,33,434,887,63927,33089,19615,277,40,1529,1238,
62,39,562,991,69176,39673,22025,306,48,1872,2170,
63,39,649,1057,74386,47610,24920,470,57,2433,2369,
64,48,724,1057,80539,56188,28786,470,67,3629,3035,
65,48,724,1235,86498,64059,32542,491,80,5698,3460,
66,48,979,1526,92472,72248,37145,539,119,7402,3865,
67,49,1071,1625,97689,78797,39642,608,119,9271,4247,
68,49,1071,1865,101739,85195,43977,702,170,10827,4831,
69,54,1636,2039,105792,94417,51477,798,186,13531,5129,
70,54,1636,2291,110574,102136,56261,906,212,15679,5591,
71,56,1965,2450,115242,110238,58327,1065,233,18135,6211,
72,61,2301,2450,119827,117710,63536,1161,269,20921,7030,
73,70,3374,2880,124632,124736,67757,1267,288,23934,7589,
74,88,4067,3277,128948,130759,69607,1406,320,27069,8018,
75,123,4067,3864,132547,135032,73488,1485,350,30217,8611,
76,164,5194,4072,135586,140510,77226,1579,396,34109,9404,
77,218,5734,4322,139422,146690,81095,1780,457,38226,9404,
78,330,6412,4601,143626,152446,85351,2054,515,42282,9755,
79,424,7447,4788,147577,157022,89683,2223,564,47029,10095,
80,621,8356,5038,152271,161852,92787,2473,620,52167,10525,
81,621,9152,5374,156363,166019,94382,2709,669,56956,10878,
82,803,10363,5716,159516,169496,97050,2776,726,61049,11235,
83,1012,11439,5988,162488,172541,102533,2852,766,65111,11868,
84,1231,12380,6505,165155,177633,105155,2979,814,69392,12200,
85,1572,13387,7025,168941,182816,107778,3105,862,74193,12591,
86,1838,14378,7481,172434,188068,108163,3233,923,78546,12855,
87,2144,15712,7993,0,191726,110721,3439,986,82329,13107,
